hosts_time_as_user_years,hosts_time_as_user_months,hosts_time_as_host_years,hosts_time_as_host_months,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,has_reviews,room_Hotel room,room_Private room,room_Shared room,nbhd_Bourse,nbhd_Buttes-Chaumont,nbhd_Buttes-Montmartre,nbhd_Entrepôt,nbhd_Gobelins,nbhd_Hôtel-de-Ville,nbhd_Louvre,nbhd_Luxembourg,nbhd_Ménilmontant,nbhd_Observatoire,nbhd_Opéra,nbhd_Palais-Bourbon,nbhd_Panthéon,nbhd_Passy,nbhd_Popincourt,nbhd_Reuilly,nbhd_Temple,nbhd_Vaugirard,nbhd_Élysée,amenity_count,has_wifi,has_kitchen,has_ac
11.0,9.0,11.0,0.0,0.0,1.0,1.0,1.0,48.8569802,2.356887,-0.5,0.0,0.0,0.0,0.0,0.0,2,2,365,365,2.0,365.0,1.0,0,0,0,-0.16740088105726872,0.3953488372093023,0,0,0,7,0,0.0,4.97,5.0,4.94,4.97,5.0,5.0,4.9,0.0,1,1,0,0,0.11564625850340138,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5263157894736842,True,True,False
15.0,11.0,15.0,5.0,0.0,113.0,1.0,1.0,48.87341,2.30778,1.0,0.0,0.0,1.0,-0.3333333333333333,-0.49635036496350365,1,3,25,25,2.2,25.0,1.0,9,28,34,0.07488986784140969,0.7209302325581395,2,0,102,4,21,6958.0,4.38,4.49,4.22,4.47,4.36,4.87,4.29,0.0,105,105,0,0,-0.23809523809523805,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1.105263157894737,True,True,True
10.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,48.8983055984812,2.3322869870007463,-0.5,0.0,0.0,-1.0,0.3333333333333333,-0.5124087591240876,3,3,14,14,3.0,14.0,1.0,5,35,44,-0.14977973568281938,0.6046511627906976,9,4,137,14,94,8961.0,4.83,4.78,4.68,4.93,4.93,4.63,4.78,0.0,1,1,0,0,0.7210884353741496,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.3157894736842105,True,True,False
2.0,9.0,2.0,9.0,1.0,5.0,1.0,1.0,48.8598199,2.3538931,-0.5,0.0,0.0,-1.0,-0.3333333333333333,0.0,1,3,365,365,2.5,365.0,1.0,17,47,73,0.6255506607929515,-0.09302325581395349,10,2,177,0,104,28428.0,4.8,4.6,4.4,4.9,5.0,4.7,4.6,0.0,5,5,0,0,2.0884353741496597,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.2631578947368421,True,True,False
4.0,4.0,3.0,8.0,0.0,5.0,1.0,1.0,48.86292755021178,2.3640038073062897,-0.5,0.0,0.0,-1.0,-0.3333333333333333,1.1094890510948905,1,1,1125,1125,1.0,1125.0,1.0,4,27,36,-0.5022026431718062,6.441860465116279,112,12,89,107,255,33660.0,4.79,4.87,4.69,4.89,4.9,4.93,4.61,0.0,4,1,3,0,5.911564625850339,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.2631578947368421,True,True,False
8.0,11.0,0.0,5.0,0.0,1.0,1.0,1.0,48.8708158898816,2.2805210575461388,-0.5,0.0,0.0,-1.0,9.333333333333334,0.0,30,30,365,365,30.0,365.0,1.0,27,57,87,0.7004405286343612,-0.32558139534883723,0,0,192,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,-0.4285714285714285,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,-1.105263157894737,True,True,False
11.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,48.86321,2.35058,1.5,1.0,1.0,1.0,0.0,-0.40145985401459855,2,2,90,90,2.0,90.0,1.0,1,1,1,0.14977973568281938,-0.27906976744186046,0,0,62,0,0,0.0,5.0,4.5,4.5,5.0,5.0,4.5,5.0,0.0,1,1,0,0,-0.37414965986394555,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.7894736842105263,True,True,True
3.0,6.0,3.0,5.0,0.0,211.0,1.0,1.0,48.88026,2.30067,1.0,0.0,2.0,2.0,9.333333333333334,-0.35036496350364965,30,30,125,125,30.0,125.0,1.0,16,46,76,0.4977973568281938,-0.32558139534883723,0,0,181,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199,199,0,0,-0.4285714285714285,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.05263157894736842,True,True,False
12.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,48.8418497093231,2.3355122919896085,1.5,1.5,2.0,1.0,-0.3333333333333333,-0.40145985401459855,1,1,90,90,1.0,90.0,1.0,28,58,88,0.7048458149779736,-0.32558139534883723,0,0,194,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,-0.4285714285714285,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.3684210526315789,True,True,False
13.0,1.0,4.0,5.0,0.0,1.0,1.0,1.0,48.89687,2.34516,-0.5,0.0,0.0,-1.0,0.3333333333333333,-0.5109489051094891,3,3,15,15,3.0,15.0,1.0,0,0,28,-0.7444933920704846,0.23255813953488372,2,1,34,2,21,2996.0,4.88,4.88,4.88,4.67,4.92,4.71,4.75,0.0,1,1,0,0,-0.11564625850340134,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.47368421052631576,True,True,False
